"VALUE","MEANING"
7280,"holywood"
7285,"black mampoo"
7286,"corcho prieto"
7288,"alligatorwood"
7290,"American muskwood"
7294,"haya minga"
7295,"haya blanca"
7298,"bastardcedar"
7299,"hammock velvetseed"
7300,"frogwood"
7302,"cucubano de vieques"
7303,"cucubano"
7305,"roseta"
7306,"wild guave"
7309,"cucubano de monte"
7315,"West Indian false box"
7317,"oysterwood"
7321,"bloodwoodtree"
7327,"palo de hueso"
7330,"scarletbush"
7336,"false locust"
7341,"cigarbush"
7347,"screwtree"
7353,"camasey peludo"
7354,"MacFadyen's camasey"
7355,"thinleaf camasey"
7357,"jusillo"
7366,"mago"
7403,"mahoe"
7409,"seaside mahoe"
7410,"shoeblackplant"
7412,"sea hibiscus"
7418,"teta de burra cinarron"
7420,"pigeonberry"
7422,"white cogwood"
7434,"sandbox tree"
7438,"cedro macho"
7442,"stinkingtoe"
7445,"inkwood"
7446,"limestone snakevine"
7455,"dahoon"
7456,"te"
7457,"maconcona"
7458,"Caribbean holly"
7459,"Puerto Rico holly"
7462,"gongolin"
7463,"Sintenis' holly"
7465,"Urban's holly"
7466,"Ilex urbaniana"
7467,"inga"
7470,"sacky sac bean"
7471,"Inga nobilis"
7474,"river koko"
7479,"palo de hierro"
7481,"white jungleflame"
7482,"black poui"
7485,"braceletwood"
7487,"bois bande"
7490,"chirriador"
7491,"Barbados nut"
7492,"wild oilnut"
7493,"coralbush"
7495,"West Indian walnut"
7499,"Khaya anthotheca"
7501,"Senegal mahogany"
7503,"Kigelia africana"
7506,"guest tree"
7508,"Koanophyllon polyodon"
7514,"leadwood"
7530,"cuero de rana"
7532,"crapemyrtle"
7533,"pride of India"
7541,"nino de cota"
7550,"henna"
7552,"Krug's roughleaf"
7556,"pitahaya"
7565,"white leadtree"
7569,"Maria laurel"
7570,"Puerto Rico cinnamon"
7573,"pepperleaf sweetwood"
7574,"Amur privet"
7590,"geno geno"
7591,"geno"
7592,"broadleaf lancepod"
7600,"luehea"
7604,"lunania"
7606,"Lunania ekmanii"
7608,"St. Thomas staggerbush"
7628,"palo de hoz"
7630,"Puerto Rico alfilerillo"
7632,"Maclura tinctoria"
7633,"umbrella-tree"
7635,"Puerto Rico magnolia"
7636,"laurel magnolia"
7643,"Singapore holly"
7644,"Barbados cherry"
7645,"palo bronco"
7646,"wild crapemyrtle"
7647,"cowhage cherry"
7648,"bastard cherry"
7652,"mammee apple"
7662,"bulletwood"
7663,"Surinam bulletwood"
7667,"wild dilly"
7669,"zapote de costa"
7673,"nisperillo"
7674,"sapodilla"
7677,"palo de cana"
7682,"bastard hogberry"
7684,"beruquillo"
7688,"Matayba apetala"
7689,"negra lora"
7695,"Caribbean mayten"
7697,"Puerto Rico mayten"
7698,"white cinnamon"
7699,"ponce mayten"
7702,"Mecranium latifolium"
